Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2N7QCU3QVT72B9sQIWXPHr,"Como todo el Mundo","El Arte de Morir muy Despacio","Depresión Sonora",2022-11-03,231586,60,sokux9999,2024-01-28T21:41:34Z,"post-punk","Sonido Muchacho",0.671,0.88,2,-5.05,1,0.0766,0.0642,0.13,0.0375,0.532,102.003,4
0NGJ3B1OvnOyuvNCJl24vv,"Fumando en mi Funeral","El Arte de Morir muy Despacio","Depresión Sonora",2022-11-03,226493,51,sokux9999,2024-01-28T21:43:29Z,"post-punk","Sonido Muchacho",0.59,0.904,4,-4.485,1,0.11,0.241,0.00066,0.173,0.699,176.974,4
78VXEgpYFFFKGx9f94FHgi,"NO ESTOY","LA NUBE","Kinder Malo",2023-09-28,153901,21,sokux9999,2024-01-31T17:41:20Z,"","Dora Black",0.65,0.745,1,-4.584,1,0.0304,0.102,0.276,0.205,0.561,100.009,4
2yPYBKGeyWMoezUYHYlKir,"Hace Mucho","Mmmua","Pimp Flaco,Kinder Malo",2023-07-14,220612,29,sokux9999,2024-01-31T17:45:38Z,"","Dora Black",0.577,0.769,1,-4.514,0,0.0439,0.0599,0.00000427,0.117,0.35,146.866,4
6W1BLmVBxkqZwFQcORQLnv,"Tren Al Sur","Corazones","Los Prisioneros",1990-09-08,336933,65,sokux9999,2024-02-27T07:57:52Z,"rock latino,rock en español","EMI CHILE",0.675,0.67,9,-7.218,0,0.0514,0.00565,0.00673,0.0805,0.726,90.23,4
2289tPRbJ0agUOvm9VJoDo,"No Me Fío","No Me Fío","Ghouljaboy",2024-03-01,145665,18,sokux9999,2024-05-20T17:31:26Z,"post-punk","Ground Control",0.511,0.761,11,-5.522,1,0.0524,0.00625,0.0000168,0.181,0.711,133.074,4
3pyyGVqWvRMq43qtJBzxe0,"Kids","Kids","Current Joys",2015-03-08,269142,31,sokux9999,2024-06-17T10:04:48Z,"","Current Joys",0.828,0.66,6,-9.669,1,0.0337,0.508,0.403,0.0755,0.904,113.45,4
7IBzp33O4Hjr92wXtH3yQJ,"Honey","Changes","Vacations",2018,139605,61,sokux9999,2024-08-10T16:57:34Z,"","Nettwerk Music Group",0.276,0.846,1,-7.561,0,0.0725,0.000244,0.311,0.197,0.668,157.458,4
6HJxxqHWMdidwTVZmZWeHU,"New Flesh","Wild Heart","Current Joys",2013-01-02,167986,30,sokux9999,2024-10-24T05:19:39Z,"","Current Joys",0.62,0.594,9,-16.066,1,0.0383,0.887,0.5,0.0917,0.698,165.861,4
2upHYVNdcEuk7pnTPsPfDN,"La Novedad","La Novedad","Margarita Siempre Viva,Depresión Sonora",2024-10-18,211882,41,sokux9999,2024-12-08T23:52:29Z,"indie latino,post-punk","Falso Ídolo, Margarita Siempre Viva",0.574,0.892,7,-4.131,1,0.0433,0.000275,0.000479,0.0762,0.678,159.964,4
2YF57m1rHbYffFdiaCw7rM,"Lágrimas En Ti","Lágrimas En Ti","San Charbel",2023-08-18,112125,32,sokux9999,2024-12-08T23:57:28Z,"post-punk,indie mexicano,indie latino,dark wave","El Diamante con licencia exclusiva de San Charbel",0.472,0.748,7,-8.149,1,0.0828,0.0000792,0.0553,0.107,0.396,193.737,4
2eq154QEu8NquYjx0hbDz2,"Resiste","Resiste","La Texana",2021-10-31,230130,40,sokux9999,2024-12-14T14:43:55Z,"post-punk,dark wave,indie mexicano,indie latino","Josué Ramírez",0.655,0.465,2,-8.187,0,0.0284,0.0265,0.00755,0.132,0.502,110.036,4
2sffCuPLCgW4i3toJHdabf,"Fractal","Un Lugar Más Cierto","Margarita Siempre Viva",2022-05-06,263925,37,sokux9999,2025-01-01T01:15:29Z,"indie latino","Falso Ídolo, Margarita Siempre Viva",0.336,0.66,7,-6.755,1,0.0338,0.41,0.00000148,0.255,0.192,129.972,4
1yfUatJAVvmmZh5sJyW3Re,"Un día como hoy","Un día como hoy","La Texana",2023-02-03,202721,40,sokux9999,2025-01-01T10:59:10Z,"post-punk,dark wave,indie mexicano,indie latino","El Diamante con licencia exclusiva de La Texana",0.525,0.716,4,-7.048,1,0.0599,0.00364,0.151,0.124,0.588,205.986,4
0YWtagax5s1mcaKn7h0avT,"Océano eterno","Distancia Sonora","Club De Los Poetas Muertos",2020-09-26,158897,33,sokux9999,2025-01-01T11:09:23Z,"","Club de los poetas muertos",0.586,0.855,8,-4.853,1,0.0358,0.671,0.897,0.386,0.798,171.968,4
3GqlpyhEowg4RKNWTnc9tq,"Siempre me cuesta regresar","Siempre me cuesta regresar","La Texana",2021-12-27,240003,45,sokux9999,2025-01-01T11:13:34Z,"post-punk,dark wave,indie mexicano,indie latino","Josué Ramírez",0.568,0.842,0,-9.227,1,0.039,0.162,0.586,0.108,0.964,179.915,4
4SsTGcFqch8KEvS3Ag4QKp,"The Unknowing","Fear of the Unknown","Jfarrari",2025-01-24,197333,46,sokux9999,2025-02-28T08:10:00Z,"dark wave,post-punk","Jfarrari",0.483,0.88,11,-5.836,0,0.0387,0.00738,0.676,0.173,0.691,179.94,4
